stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_focus_centroid_dist,val_centroid_dist_LL2,val_centroid_dist_LL4,val_centroid_dist_ANT,val_centroid_dist_Apex
supervised,1,0.5853385024882377,0.6841200937827429,0.43289077281951904,10.466812234233926,15.21374513457219,12.600882252057394,13.55810171365738,10.363640348116556,24.332356224457424
supervised,2,0.5724669415900048,0.6531210740407308,0.45261698464552563,9.73512271101828,12.961837307860453,9.056479806701342,14.579903821150461,10.247192978858948,17.963772624731064
supervised,3,0.5637458562850952,0.6540983865658442,0.4535643359025319,11.871758782477293,16.526516509552795,9.149966160456339,15.281370123227438,11.90698770682017,29.76774204770724
supervised,4,0.5532133674367945,0.6438469539086024,0.46415752669175464,10.095942028694683,13.897805623710155,9.424691220124563,14.043388644854227,9.907063166300455,22.216079463561375
supervised,5,0.5503670421052487,0.6438683768113455,0.46475401520729065,9.624777972146315,11.313291976849237,9.442980567614237,15.658067305882772,11.90330946445465,8.248810569445292
supervised,6,0.5543266357259548,0.6359159499406815,0.46869781861702603,9.664604252411259,12.659956599275272,8.963132381439209,12.70301902294159,10.341368317604065,18.632306675116222
supervised,7,0.5391891402132968,0.6511872907479604,0.45924630264441174,10.510935831952978,13.224934389193853,10.006878117720285,16.174583156903584,11.161138653755188,15.557137628396353
supervised,8,0.5417584650059963,0.6190356637040774,0.4820292815566063,9.07497055000729,10.085370858510334,9.409378210703531,14.272790352503458,10.34533723195394,6.313977638880412
supervised,9,0.5232544630131823,0.648037408788999,0.46620973696311313,10.062062152557901,12.879360787570477,9.502784450848898,14.473360300064087,10.944275031487146,16.597023367881775
supervised,10,0.5216927236699044,0.6382279843091965,0.46906918783982593,10.294546905491087,13.788215577602386,9.631000141302744,13.964544614156088,10.376288135846456,21.18102941910426
supervised,11,0.53278545306084,0.6311922942598661,0.4781059647599856,9.469245237884698,12.248496005932491,9.37658828496933,11.0948895017306,9.774215777715048,18.748290459314983
supervised,12,0.5177821859400323,0.6285259326299032,0.47542473673820496,12.030051881516421,16.244632792969547,17.10171244541804,19.400198698043823,9.445318778355917,19.031301250060398
supervised,13,0.5213014825861505,0.6163068066040674,0.48420631637175876,9.114452172760611,11.814408945540588,9.950950900713602,11.704694549242655,9.355694035689035,16.246296296517055
supervised,14,0.5129938182678628,0.6296162257591883,0.476930412153403,9.238898480931917,9.525565460324287,8.845076898733774,11.303962032000223,11.512163281440735,6.4410596291224165
supervised,15,0.5124711242127926,0.6284622276822726,0.47540348519881565,8.259459414967782,9.211381067832312,9.606948455174765,8.397328972816467,11.540616114934286,7.3006307284037275
supervised,16,0.5068668184128213,0.6213353127241135,0.4806014845768611,10.157846168787392,10.960580103099346,9.71627410252889,18.693516234556835,9.986474394798279,5.446055680513382
supervised,17,0.4980156846502994,0.6340089018146197,0.47240234166383743,9.276067979909756,9.27636987467607,9.044431388378143,9.913480718930563,11.605467359224955,6.542100032170613
supervised,18,0.5124327553079483,0.6032106379667918,0.4934917911887169,8.544367685362145,10.202288851141931,9.48868461449941,8.477062861124674,17.217533747355144,5.6258741815884905
supervised,19,0.512940673752034,0.6501646836598715,0.46587389210859936,8.92421665125423,10.70238978912433,9.278721769650778,9.135517378648123,10.773222009340921,13.622097998857498
supervised,20,0.5038865753944884,0.6204738716284434,0.4802647903561592,8.328658315870497,9.315573734541733,9.5263960758845,8.99170301357905,11.870753526687622,6.873442322015762
supervised,21,0.50158521406194,0.6234815493226051,0.4822910204529762,7.983924590879016,8.42952976624171,9.472824076811472,8.74442889293035,9.834731658299765,5.666134436925252
supervised,22,0.5009079201424376,0.6281388327479362,0.4798716964821021,9.356266285534257,9.023834804693857,8.425391097863516,9.539306044578552,10.845977346102396,7.2846647302309675
supervised,23,0.4921271915131427,0.6017896806200346,0.500265767176946,8.017494893184415,8.004461710651716,8.563329041004181,6.865410486857097,10.032735268274942,6.556372046470642
supervised,24,0.4967698277311122,0.5900853549440702,0.5050852497418722,7.914291764299075,7.905517019331454,9.5146035750707,7.036328474680583,9.529126266638437,5.542009760936101
supervised,25,0.4967202233507278,0.602720764776071,0.4955608720580737,8.227524479782138,9.738306477665901,8.411245584487915,6.493960956732432,18.294125596682232,5.753893772761027
