stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_centroid_dist_LL1,val_centroid_dist_LL3,val_centroid_dist_ANT,val_centroid_dist_Apex
supervised,1,0.6795039075486203,0.6979155490795771,0.3741607367992401,18.859290647561902,14.652821391820908,16.398741722106934,11.572065909703573,75.94144598642985
supervised,2,0.6560204371492914,0.6926232874393463,0.38372256358464557,19.728773267732727,14.988674953579903,22.124009648958843,11.636601686477661,69.24341011047363
supervised,3,0.6438070789296576,0.6849043766657511,0.3918330619732539,16.301385516369788,14.815322006742159,10.729509015878042,12.241905371348063,59.04237365722656
supervised,4,0.6286837483974214,0.6635952045520147,0.40875186522801715,15.218803301729537,5.25937361518542,18.70600950717926,10.908633947372437,58.53137469291687
supervised,5,0.6356249299455197,0.6879205058018366,0.3949687108397484,14.481605434307346,16.160586893558502,10.503275712331137,13.402068376541138,46.11459366480509
supervised,6,0.6285245355139387,0.6726605494817098,0.39920731882254284,12.090730932575683,6.059001137812932,8.485414942105612,11.174783309300741,44.5226796468099
supervised,7,0.6179066807665723,0.6786813239256541,0.39388420184453327,12.150338921282026,13.780331109960875,6.8381725152333575,10.942512392997742,35.38561928272247
supervised,8,0.6206989960467562,0.6610604921976725,0.41922974586486816,12.639539019101198,15.276142778495947,7.853804171085358,10.1720117131869,30.85372285048167
supervised,9,0.6017437310928994,0.6693464269240698,0.4193058783809344,12.626848310508109,12.244509443640709,11.156007011731466,11.069762667020163,32.951480527718864
supervised,10,0.6095939151784207,0.651727040608724,0.4302838246027629,11.653901195912448,10.758186370134354,10.084515710671743,10.854847431182861,29.778347571690876
supervised,11,0.6066286297554665,0.6604704062143961,0.425917220612367,12.296331561274002,11.545360371470451,10.48900149265925,11.538769364356995,34.88732719421387
supervised,12,0.5975711459809161,0.6480169693628947,0.4332925056417783,11.319733322770508,7.169336676597595,9.362980902194977,11.347136576970419,30.604913393656414
supervised,13,0.5995592164232376,0.6635132605830828,0.4155772464970748,13.167747297772655,16.385025575757027,10.626096169153849,10.350892821947733,26.439186414082844
supervised,14,0.5817565600922767,0.6687041372060776,0.4205947940548261,13.606946519679495,10.666685998439789,8.104355951150259,11.779463768005371,45.14461398124695
supervised,15,0.5728549399274461,0.6379624505837759,0.4450863376259804,10.910297530944701,5.72756959994634,7.909819821516673,11.544426798820496,34.763038436571755
supervised,16,0.5730819258284061,0.6270292898019155,0.44946195433537167,9.53702584516119,3.0788281907637916,8.274818420410156,10.721940835316977,26.396229286988575
supervised,17,0.5775803257810309,0.6303757379452387,0.4484054545561473,9.067861224214235,3.0445525497198105,7.735336403052012,10.691767573356628,25.439476748307545
supervised,18,0.5645018822335183,0.6102171838283539,0.46419381598631543,10.018036796538919,6.60387322306633,9.032545487085978,10.263721267382303,25.960045059521992
supervised,19,0.5458809175389878,0.6146022528409958,0.4592493176460266,10.079538052832639,8.151443796853224,9.165782709916433,11.070068955421448,22.50228915611903
supervised,20,0.5454065108552892,0.6249412447214127,0.4498031536738078,10.757085160524758,14.64764212568601,8.583961764971415,11.187584638595581,28.620693186918896
supervised,21,0.5489486925145413,0.6181044975916544,0.44801972806453705,10.58294887288853,17.041598374644916,8.805339495340982,10.358607292175293,18.607482711474102
supervised,22,0.5459096704391723,0.6269411618510882,0.4503964918355147,13.06877493803148,15.806438302000364,13.534152110417685,10.763963063557943,23.48008604844411
supervised,23,0.5511479193859912,0.6024899383385977,0.46818940838177997,10.358523752954271,8.562685340642929,7.46003782749176,9.694873213768005,22.88350482781728
supervised,24,0.5343713906217129,0.5995165357987086,0.4675190970301628,9.692420749200716,5.694200798869133,11.787844975789389,10.482502937316895,14.416550556818644
supervised,25,0.5318186891839859,0.6060203885038694,0.4613472918669383,11.082650612901759,2.8595930337905884,13.2800794839859,10.218236764272055,28.438630044460297
supervised,26,0.523520328263019,0.5894992922743162,0.4693826039632161,10.706223232050737,5.877738210062186,8.307860851287842,9.78920873006185,23.61007223526637
supervised,27,0.5278602470742896,0.593222014605999,0.4710400427381198,9.594087213553763,4.296019022663434,5.32886544863383,9.582771241664886,20.00173991918564
