stage,epoch,train_loss,val_loss,val_dice,val_dice_electrodes,val_dice_anatomy,val_centroid_dist,val_centroid_dist_electrodes,val_centroid_dist_anatomy,val_focus_centroid_dist,val_worst_focus_centroid_dist,val_selection_score,learning_rate,grad_norm,val_centroid_dist_LL2,val_centroid_dist_ANT,val_centroid_dist_Base
continued_supervised,0,,0.4825415313243866,0.5025888731082281,0.5758907347917557,0.3559852112084627,7.891332852619665,6.847496019303798,9.905677566925684,11.37324412001504,14.378926813602448,11.467927087125956,1e-06,,9.622523268063864,10.118282278378805,14.378926813602448
continued_supervised,1,0.3808426026334154,0.4869687606890996,0.5005976359049479,0.5729834412535032,0.35582601713637513,7.779110616004026,6.680037223299345,9.90331588519944,11.299534519513449,14.378926813602448,11.348630884841635,1e-06,inf,9.408479511737823,10.111197233200073,14.378926813602448
continued_supervised,2,0.3753503960497836,0.488568976521492,0.4998585780461629,0.5722796122233073,0.35501648237307865,7.797221657302644,6.707203785247273,9.90331588519944,11.3044486840566,14.378926813602448,11.368957166539298,1e-06,3.0431115500470427,9.423222005367279,10.111197233200073,14.378926813602448
continued_supervised,3,0.37783677844291036,0.48989932984113693,0.4992586225271225,0.5718588382005692,0.3540581588943799,7.7391151520941,6.64334099623892,9.85672194759051,11.285875486003029,14.267472942670187,11.286973818474346,1e-06,2.982436360196864,9.507284224033356,10.082869291305542,14.267472942670187
continued_supervised,4,0.37387683543753114,0.4898615802327792,0.4994087219238281,0.5726480086644491,0.3529302179813385,7.662522953969461,6.548164239856933,9.817298865980574,11.260117378499773,14.267472942670187,11.206217705430808,1e-06,2.865804715359465,9.507284224033356,10.005594968795776,14.267472942670187
continued_supervised,5,0.3653282218791069,0.4900343616803487,0.4991999839742978,0.5729567507902781,0.35168639322121936,7.679787278175354,6.575529682636262,9.814360953039595,11.250674731201597,14.267472942670187,11.222483108441036,1e-06,2.8646291316823755,9.507284224033356,9.977267026901245,14.267472942670187
continued_supervised,6,0.37435321731770294,0.48920755336682004,0.49910541375478107,0.5734365011254946,0.3504432365298271,8.697523340030953,6.599720588657591,12.819187326563728,14.257200870249006,23.11691415309906,14.461275473678555,1e-06,inf,9.51238352060318,10.142304937044779,23.11691415309906
continued_supervised,7,0.3646191009815703,0.489152488609155,0.4989425043265025,0.5736915245652199,0.34944447378317517,9.54706307693764,6.593797327412499,15.379653059773977,16.817666603459255,23.11691415309906,15.695210889423334,5e-07,2.9366486985632716,9.51238352060318,17.823702136675518,23.11691415309906
continued_supervised,8,0.36429974183123165,0.4891125683983167,0.49885078022877377,0.5737742508451144,0.34900383402903873,9.550071738384387,6.598310319582622,15.379653059773977,16.817666603459255,23.11691415309906,15.698402999065538,5e-07,2.9883229225239853,9.51238352060318,17.823702136675518,23.11691415309906
continued_supervised,9,0.36742203096125986,0.4891773487130801,0.4985068092743556,0.5737807477513949,0.34795892611145973,9.531948416321365,6.571125336488088,15.379653059773977,16.817666603459255,23.11691415309906,15.680967618911355,5e-07,2.9361643461470908,9.51238352060318,17.823702136675518,23.11691415309906
continued_supervised,10,0.36940216003580295,0.4895724927385648,0.49825817594925564,0.5735027690728506,0.34776899591088295,9.546136138615784,6.592406919929716,15.379653059773977,16.89442644516627,23.11691415309906,15.707166584112025,2.5e-07,2.9231844024455294,9.742663045724234,17.823702136675518,23.11691415309906
continued_supervised,11,0.36366785523739265,0.4895620420575142,0.498202882707119,0.5736341724793116,0.3473403162012498,9.542156189680101,6.580992284417152,15.390542483992048,16.905315869384342,23.11691415309906,15.704930635293326,2.5e-07,2.8515387012603437,9.742663045724234,17.85637040932973,23.11691415309906
continued_supervised,12,0.35876838006871814,0.48957808315753937,0.49800274272759754,0.5734355375170708,0.3471370916813612,9.54757191737493,6.580992284417152,15.404984424511591,16.919757809903885,23.160239974657696,15.721578098336858,2.5e-07,2.7983858585357666,9.742663045724234,17.85637040932973,23.160239974657696
continued_supervised,13,0.36993854540459653,0.4896034399668376,0.4980550582210223,0.573682390153408,0.34680037572979927,9.54757191737493,6.580992284417152,15.404984424511591,16.919757809903885,23.160239974657696,15.721473467350007,1.25e-07,2.909254692970438,9.742663045724234,17.85637040932973,23.160239974657696
continued_supervised,14,0.35942183213031037,0.48960592101017636,0.49799933781226474,0.5736716836690903,0.34665463119745255,9.54757191737493,6.580992284417152,15.404984424511591,16.919757809903885,23.160239974657696,15.721584908167523,1.25e-07,2.92514457601182,9.742663045724234,17.85637040932973,23.160239974657696
continued_supervised,15,0.36983395764168275,0.48960523804028827,0.4979395568370819,0.5736720735828081,0.34647452396651107,9.54757191737493,6.580992284417152,15.404984424511591,16.919757809903885,23.160239974657696,15.721704470117889,1.25e-07,3.1064598687151643,9.742663045724234,17.85637040932973,23.160239974657696
continued_supervised,16,0.37012070417404175,0.4896424238880475,0.4978845665852229,0.5736380765835444,0.3463775273412466,9.539147528233354,6.57647929224703,15.390542483992048,16.905315869384342,23.11691415309906,15.702558606090372,1e-07,2.9431699057842824,9.742663045724234,17.85637040932973,23.11691415309906
