stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_focus_centroid_dist,val_worst_focus_centroid_dist,val_selection_score,val_centroid_dist_LL2,val_centroid_dist_ANT,val_centroid_dist_Base
supervised,1,0.4170454632728658,0.5964269389708837,0.49316298092405003,9.818017756497417,16.97647941774792,22.985261758168537,15.126392088057814,9.918025394280752,18.026151100794475,22.985261758168537
supervised,2,0.4121493855689434,0.5960037832458814,0.49356382712721825,9.739261639338952,17.015751885043247,23.00682802995046,15.055074779578934,10.014276524384817,18.026151100794475,23.00682802995046
supervised,3,0.40682727098464966,0.5971450507640839,0.49279103552301723,9.597561236884859,17.002109679910873,23.00682802995046,14.913555739820007,10.055953999360403,17.943547010421753,23.00682802995046
supervised,4,0.40794519541111396,0.5955821548899015,0.49388889595866203,9.63252268290078,16.940756565994686,22.822768688201904,14.903374285223304,10.055953999360403,17.943547010421753,22.822768688201904
supervised,5,0.40649910239463155,0.5932481164733568,0.4951109526058038,9.571203906227039,16.939056800471413,22.822768688201904,14.839441418702954,10.050854702790579,17.943547010421753,22.822768688201904
supervised,6,0.4098204919632445,0.5937469750642776,0.4949125200510025,9.691957627733547,17.00787197219001,23.029214203357697,15.008762625522081,10.050854702790579,17.943547010421753,23.029214203357697
supervised,7,0.4031735899600577,0.5936669831474622,0.49540670216083527,9.704876647503287,16.989127132627697,23.029214203357697,15.018818797115927,9.994620184103647,17.943547010421753,23.029214203357697
supervised,8,0.40116379616108344,0.5943184246619543,0.4946289335687955,9.465084978827724,16.833361744880676,22.932932277520496,14.745749741682301,9.623605946699778,17.943547010421753,22.932932277520496
supervised,9,0.3994593810527883,0.5942218030492464,0.49456193173925084,9.504247180841588,16.857265419430203,23.21327354510625,14.843504568327356,9.578746378421783,17.779776334762573,23.21327354510625
supervised,10,0.40038524219330324,0.5947901209195455,0.4938742630183697,9.495175777762023,16.850502530733745,23.029214203357697,14.798320345470199,9.578746378421783,17.943547010421753,23.029214203357697
supervised,11,0.40247661572821597,0.593447245657444,0.4955306574702263,9.473482228539607,16.955657018555534,23.029214203357697,14.783829456126249,9.894209841887156,17.943547010421753,23.029214203357697
supervised,12,0.3996378823797754,0.59505162636439,0.493890763570865,9.523508959346348,16.867612136734856,23.029214203357697,14.828331486549642,9.63007519642512,17.943547010421753,23.029214203357697
