stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_focus_centroid_dist,val_selection_score,val_centroid_dist_LL2,val_centroid_dist_ANT,val_centroid_dist_Base
supervised,1,0.45079302153688794,0.6033412391940752,0.4811660200357437,7.816898887908017,11.510317742824554,8.581114509260212,9.593020816644033,10.575420300165812,14.362512111663818
supervised,2,0.44222234157805745,0.5973871424794197,0.4877915208538373,8.98591081742887,14.411758979161581,10.172091622595433,9.729248821735382,10.337668855985006,23.168359259764355
supervised,3,0.440811998666601,0.5990862175822258,0.48701850945750874,8.916144090670127,14.392343786027697,10.100958639659263,9.410549183686575,10.337668855985006,23.42881331841151
supervised,4,0.439204715033795,0.597356878221035,0.4886275331179301,7.699096905412499,11.523343967066872,8.450343434236668,9.421439111232758,10.950988133748373,14.197604656219482
supervised,5,0.44267567294709226,0.5970079203446707,0.488535547008117,9.023478808226407,14.660844961802164,10.245534458480499,9.791857600212097,10.945662260055542,23.245015025138855
supervised,6,0.4498674666627924,0.5878639568885168,0.4941645562648773,8.016099161571924,11.366405308246613,8.732730845279162,9.387013018131256,10.46606214841207,14.246140758196512
supervised,7,0.43366181533387366,0.5923368036746979,0.49404660736521083,8.909016440312067,14.379768828550974,10.077888549864293,9.614485263824463,10.450356165568033,23.074465056260426
supervised,8,0.4469274161977971,0.5862744674086571,0.49519482254981995,7.941131803172606,11.36785246928533,8.655920028465765,9.66107682387034,10.283969720204672,14.158510863780975
supervised,9,0.4244739070851752,0.599849152068297,0.4892140341301759,9.69996352273005,16.868264926804436,11.251775193490364,9.466298679510752,17.716920733451843,23.421575367450714
supervised,10,0.43057348373088433,0.5954143106937408,0.4936049145956834,10.01141977696507,16.85576860772239,11.552575238932063,9.925429026285807,17.43898061911265,23.202896177768707
supervised,11,0.44083818159204846,0.600586382051309,0.48779519895712536,9.668642480064323,16.833851562605965,11.218129816540966,9.508893489837646,17.77001444498698,23.222646752993267
supervised,12,0.4297651268066244,0.5974668016036352,0.49238257731000584,9.826945023956123,16.718149708376988,11.349902325592659,9.383285502592722,17.397178053855896,23.373985568682354
