stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_focus_centroid_dist,val_worst_focus_centroid_dist,val_selection_score,learning_rate,grad_norm,val_centroid_dist_LL2,val_centroid_dist_ANT,val_centroid_dist_Base
tiny_overfit,0,,1.9225578308105469,0.0007170794415287673,62.36092816458808,50.49658473332723,77.1054458618164,82.83024165140102,0.0003,,3.648888111114502,77.1054458618164,70.73542022705078
tiny_overfit,1,1.9510287046432495,1.9045708179473877,0.0007263388251885772,45.614491091834175,50.49658473332723,77.1054458618164,66.0837860598798,0.0003,0.8057155609130859,3.648888111114502,77.1054458618164,70.73542022705078
tiny_overfit,2,1.9234204292297363,1.8870892524719238,0.0007346125785261393,60.67131487528483,75.62950007120769,86.9220962524414,85.61721490773682,0.0003,0.7417993545532227,86.9220962524414,77.1054458618164,62.860958099365234
tiny_overfit,3,1.9134166240692139,1.870495319366455,0.000738989154342562,60.67131487528483,75.62950007120769,86.9220962524414,85.61720615458519,0.0003,0.6812767386436462,86.9220962524414,77.1054458618164,62.860958099365234
tiny_overfit,4,1.8828918933868408,1.8553240299224854,0.0007408097735606134,78.05394649505615,91.8212178548177,113.34680938720703,109.9039485384322,0.0003,0.6398037075996399,86.9220962524414,75.19474792480469,113.34680938720703
tiny_overfit,5,1.8681342601776123,1.8415923118591309,0.0007443413487635553,81.28734662797716,93.1299819946289,128.31016540527344,116.26088922579721,0.0003,0.6017550230026245,75.8850326538086,75.19474792480469,128.31016540527344
tiny_overfit,6,1.871009111404419,1.829068660736084,0.0007447936804965138,95.70123375786676,93.1299819946289,128.31016540527344,130.67477545102335,0.0003,0.6017914414405823,75.8850326538086,75.19474792480469,128.31016540527344
tiny_overfit,7,1.8331596851348877,1.8174413442611694,0.000747344340197742,95.74446699354384,93.25968170166016,128.6992645263672,130.80879338030292,0.0003,0.5315394401550293,75.8850326538086,75.19474792480469,128.6992645263672
tiny_overfit,8,1.8320484161376953,1.8067004680633545,0.0007519613136537373,90.92696465386285,92.30102284749348,125.82328796386719,125.32022060875833,0.0003,0.4987311363220215,75.8850326538086,75.19474792480469,125.82328796386719
tiny_overfit,9,1.81016206741333,1.796694278717041,0.0007535662152804434,91.30662706163194,92.30102284749348,125.82328796386719,125.69987980672417,0.0003,0.4852789342403412,75.8850326538086,75.19474792480469,125.82328796386719
tiny_overfit,10,1.8261362314224243,1.7873612642288208,0.0007541857194155455,102.17492591010199,93.79126739501953,125.82328796386719,136.71720187093854,0.0003,0.46387141942977905,80.35576629638672,75.19474792480469,125.82328796386719
